Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.444300000000000139e+01,2.508800000000000097e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.003044843673706055e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.444300000000000139e+01,2.508800000000000097e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.015511512756347656e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.444300000000000139e+01,2.508800000000000097e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.029493093490600586e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.444300000000000139e+01,2.508800000000000097e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.043206214904785156e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.444300000000000139e+01,2.508800000000000097e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.051737308502197266e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.444300000000000139e+01,2.508800000000000097e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.052791118621826172e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.444300000000000139e+01,2.508800000000000097e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.056703805923461914e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.444300000000000139e+01,2.508800000000000097e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.060025691986083984e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.444300000000000139e+01,2.508800000000000097e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.073243618011474609e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.444300000000000139e+01,2.508800000000000097e+01,2.300000000000000000e+01,2.300000000000000000e+01
